timestamp_unix,timestamp_iso,elapsed_sec,pid,pid_alive,rss_mb,vsz_mb,waiting_queue_size,running_batch_size,prefill_decode_size,req_to_token_pool_used,available_kv_tokens,memory_kvcache,internal_state_count,server_info_ok,server_info_status,server_info_error,metrics_ok,metrics_status,metrics_error
1771031980.060805,2026-02-14T01:19:40.060805+00:00,0.0,824178,True,385.633,4228.535,0,0,0,1,192320,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032015.023367,2026-02-14T01:20:15.023367+00:00,30.0,824178,True,387.008,4229.535,,,,,,,,False,,timed out,False,404,"{""detail"":""Not Found""}"
1771032040.432256,2026-02-14T01:20:40.432256+00:00,60.0,824178,True,387.008,4229.535,12,0,12,10,191744,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032075.024001,2026-02-14T01:21:15.024001+00:00,90.0,824178,True,387.008,4229.535,,,,,,,,False,,timed out,False,404,"{""detail"":""Not Found""}"
1771032101.397029,2026-02-14T01:21:41.397029+00:00,120.0,824178,True,387.008,4229.535,7,0,7,5,192064,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032130.331552,2026-02-14T01:22:10.331552+00:00,150.0,824178,True,387.008,4229.535,12,0,12,6,192000,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032160.019569,2026-02-14T01:22:40.019569+00:00,180.0,824178,True,385.91,4229.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032190.019459,2026-02-14T01:23:10.019459+00:00,210.0,824178,True,385.91,4229.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032220.020759,2026-02-14T01:23:40.020759+00:00,240.0,824178,True,385.91,4229.535,0,0,0,4,192128,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032250.019831,2026-02-14T01:24:10.019831+00:00,270.0,824178,True,385.566,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032280.01963,2026-02-14T01:24:40.019630+00:00,300.0,824178,True,385.566,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032310.021994,2026-02-14T01:25:10.021994+00:00,330.0,824178,True,385.566,4230.535,6,0,6,6,192000,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032340.019614,2026-02-14T01:25:40.019614+00:00,360.0,824178,True,385.215,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032370.019528,2026-02-14T01:26:10.019528+00:00,390.0,824178,True,384.816,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
1771032400.019621,2026-02-14T01:26:40.019621+00:00,420.0,824178,True,384.816,4230.535,0,0,0,0,192384,20.77,1,True,200,,False,404,"{""detail"":""Not Found""}"
