max_running_requests,extend_batch_size,c2_error_rate,c2_p50_ms,c2_p95_ms,c2_p99_ms,c2_items_per_sec,c4_error_rate,c4_p50_ms,c4_p95_ms,c4_p99_ms,c4_items_per_sec,rank_score
12,12,0.0,102.92687299079262,1528.4863510518335,1568.6296260857484,255.57477971942257,0.9958333333333333,87.05134301271755,115.4053966034553,117.92575692263199,0.2922268816553451,31467.214777470275
10,10,0.0,100.36912299983669,1735.7174994642262,1770.0098765853909,255.0995759746903,0.9958333333333333,87.13872298540082,116.4386225907947,119.04305811127415,0.2922286745851212,31668.818488207646
12,8,0.0,115.78630752046593,1788.4043735059095,1836.6181148061878,255.10565215770356,0.9958333333333333,92.29001800122205,128.70269408304011,131.93937640142394,0.29222659336732393,31738.005990086473
10,8,0.0,116.0452274925774,1835.5248363310238,1870.8676727011334,254.60119464792263,0.9958333333333333,93.4690880094422,130.2067811091547,133.47235382912913,0.29222666687289733,31772.56214346696
8,8,0.0,115.88722800661344,1961.39392038167,1990.2336197026307,254.15028074104552,0.9916666666666667,149.83587700407952,169.164920138428,169.8397088155616,0.3453606163807207,31774.201561465743
10,12,0.0,116.96731251140591,1935.61258198024,1984.7479330803617,254.17993775775477,0.9958333333333333,97.59702200244647,130.98684561700793,133.95482993830228,0.292226472948129,31886.538899068022
8,10,0.0,115.40685250656679,2126.3773039434454,2163.0032887140987,253.1921182500731,0.9916666666666667,128.12363701232243,130.6837460040697,130.70433080225484,0.3453582162445349,31939.14415487455
6,10,0.0,116.88712250906974,2190.2675880366587,2244.3995139937033,253.6026941583973,0.9958333333333333,141.55126200057566,212.02794271230232,218.2925365533447,0.2922279469890052,32163.058021304372
10,6,0.0,134.53729699540418,2207.7671850158367,2277.703068200208,253.38238188104245,0.9958333333333333,96.3883229997009,137.1982866025064,140.8258389227558,0.29222844605091663,32180.86823598476
12,10,0.0,112.12700250325724,1673.6454619371216,2283.256126489141,255.34411181675287,0.9958333333333333,85.15922799415421,112.34925308526726,114.76614420447731,0.2922271868034921,32181.209355330036
8,6,0.0,135.90678201580886,2197.499145488837,2241.11164211703,253.11844348918638,0.9916666666666667,5120.370642995113,10102.574148835265,10102.59725375392,0.34535860281257463,34011.631092867814
12,6,0.0,129.3361120042391,1918.0813339960878,1935.980777219229,253.81308034518014,0.9916666666666667,12195.0647449994,24244.301164985518,24244.701427383698,0.3453588137049615,36534.92106269597
6,12,0.13333333333333333,149.0251814975636,2281.1441405006917,2336.6419642898836,227.71020144545716,1.0,0.0,0.0,0.0,0.0,45669.97529762322
6,8,0.35833333333333334,135.36924701475073,2439.5183335072943,2479.53121460916,155.77789241483833,1.0,0.0,0.0,0.0,0.0,68312.8645479425
8,12,0.9416666666666667,103.25051799009088,1837.9557096559438,1860.2207259260467,11.499351197722454,1.0,0.0,0.0,0.0,0.0,126026.88739259272
6,6,0.971830985915493,28590.180551007506,31036.370676243678,31214.46566004306,0.48721646471412744,0.9958333333333333,91.36275299533736,132.43804559897399,136.08918271929724,0.29222705788030356,158299.7820881362
